Technology,Number_of_Jobs
capsules,5
captain,6
captiva,6
captivate,5
captive,36
captive sales,1
captive unit,28
car,1156
car loan,6
car loans,3
car manufacturing,1
car rental,1
car sales,3
car service,1
card sales,5
cardiac,5
cardio,17
cardio diabetic,3
cardio vascular,1
cardiology,11
cardiovascular,6
cards,43
care,1027
career advisor,4
career builder,2
career comeback,1
career counselling,7
career development,57
career planning,3
careerbreak,1
cargo,19
cargo handling,3
cargo operations,2
carpenter,2
carpentry,2
cartons,1
cartooning,1
cas,911
casa,68
casa business development executive,2
casa sales executive,2
casa sales officer,2
case,329
case processing,2
case studies,13
cash,211
cash allocation,1
cash application,18
cash applications,15
cash apps,1
cash book,6
cash collection,5
cash credit,1
cash flow,87
cash flow management,3
cash flow statement,7
cash flows,1
cash handling,23
cash management,44
cash management services,1
cash operations,2
cash payment,5
cash receipts,1
cash reconciliations,1
cash statements,1
cash voucher,1
cashflow,1
cashier,14
cashier (pdn-943-n1c),1
cashier activities,8
cassandra,67
casting,204
casting tool,1
casual,6
casuality,1
casualty,4
catalog apparels,1
catalog clothing,1
catalog garments,1
catalog management,6
catalogues,2
cataloguing,6
catalyst,4
category,18
category head,1
category management,12
category manager,4
catering,24
catering management,1
catering sales,3
cath-lab technician,1
catia,27
catia v5,1
cattle,4
cb,87
cbm,1
cbs,55
cbse,52
cc,2392
cca,27
ccar,3
ccda,2
cce,751
ccie,17
ccie security,1
ccm,17
ccna,77
ccna voice,1
ccnp,21
ccnp routing,3
cco,1471
ccp,3
ccr,7
ccs,12
ccsa,3
ccsp,4
cctv,26
cctv installation,2
cctv monitoring,1
ccvp,1
cd,81
cd & tw,1
cd & two wheeler,1
cd marketing,1
cdc,3
cdd,2
cdh,3
cdisc,4
cdm,9
cdma,8
cdo,4
cdp,8
cdps,1
cdsl,2
ceh,9
celerra,1
cell,131
cell biology,1
cell culture,4
cello,1
celta,1
cement,56
cement sales,1
center,609
center coordinator,3
center head,10
center management,11
center manager,6
center of excellence,4
centos,14
central excise,1
central finance,1
centre head,3
centre incharge,1
centre manager,1
centrifugal pumps,2
centrifuge,1
ceo,3
ceramic,5
ceramics,4
certification,6
certified ethical hacker,3
certified financial planner,1
certified medical coder,2
cfa,11
cfd,7
cfd engineer,1
cfl,1
cfo,7
cfp,1
cfs,3
cg,233
cgi,28
cgmp,2
cha,1679
chain,253
chains,2
change,311
change control,10
change management,211
change manager,1
change.,2
channel,326
channel business,2
channel dealer distributor,2
channel development,39
channel development executive,1
channel distribution,17
channel handling,3
channel head,1
channel management,43
channel manager,4
channel marketing,6
channel network,1
channel partner,47
channel partner management,3
channel partners,41
channel sales,203
channel sales executive,2
channel sales management,8
channel sales manager,8
channel sales sales / marketing sales marketing building materials fmcd company profile company name associated resource company (arc).,1
channel strategy,2
channels,2
channels sales,1
chaps,1
character animation,5
character design,1
characterization,2
charge entry,1
charge posting,1
chargeback,1
charging system,1
charted accountant,4
chartered accountant,75
charts,7
chat,189
chat communication,1
chat process,114
chat support,18
chat support executive,1
chatbot,1
check,70
check arms,1
check point,1
checker,3
checking,8
checkpoint,14
checkpoint firewall,4
chef,60
chef de cuisine,1
chef de partie,14
chemical,134
chemical analysis,3
chemical engineer,19
chemical engineering,18
chemical industry,1
chemical production,2
chemical purchase,3
chemical research,1
chemical sales,6
chemical testing,1
chemicals,24
chemist,129
chemistry,119
chemistry faculty,4
chemistry teacher,2
chemists,1
chennai,1
cheque clearing,2
chicken,1
chief architect,2
chief engineer,2
chief executive,5
chief executive officer,4
chief financial officer,5
chief information officer,1
chief officer,1
chief technical officer,1
chief technology officer,3
child development,2
chiller,8
chiller plant,1
chillers,6
china,1
chinese,3
chip,10
chip design,7
chip level repairing,2
chocolate,3
chocolates,1
chp,1
chrome,1
churn management,2
ci,5083
ci / cd,2
ci / cd tool,1
ci/cd systems,1
cic,23
cicd,1
cics,17
ciena,4
cif,63
cifs,1
cima,1
cinema 4d,2
cinemas,1
cinematography,1
cio,9
cipet,2
cipet sales,1
circle head,1
circle manager,2
circuit,26
circuit breakers,3
circuit design,19
circuit designing,15
circuit trainer,1
circuits,2
circulation,3
cisa,21
cisco,113
cisco asa,8
cisco call manager,2
cisco certification,2
cisco certified,4
cisco certified network associate,1
cisco collaboration,1
cisco ip telephony,1
cisco ipcc,1
cisco ips,1
cisco ipt,1
cisco networking,5
cisco nexus,2
cisco products,1
cisco routers,5
cisco security,1
cisco stealthwatch,1
cisco switches,2
cisco tac,1
cisco uc,5
cisco ucs,4
cisco unified communications,3
cisco unity connection,1
cisco voice,4
cisco voice network,1
cisco voip,1
cisco webex,1
cisco wireless,1
cism,13
cissp,18
citi,2
citrix,20
citrix admin server,1
citrix administrator,2
citrix administrator server,1
citrix presentation server,1
citrix server,1
citrix server administration,1
citrix xenapp,6
citrix xendesktop,3
city head,7
city manager,2
civil,156
civil 3d,4
civil construction,8
civil design,6
civil engg,1
civil engineer,68
civil engineering,63
civil infrastructure,1
civil ing,1
civil law,1
civil maintenance,1
civil project,8
civil project management,4
civil projects,1
civil site engineer,4
civil site engineering,2
civil site supervisor,2
civil supervision,2
civil supervisor,2
civil works,1
ck end developer,1
ckend,343
ckssl,1
cl,2973
cl400,1
cladding,1
claim,96
claim management,1
claim process,1
claim settlement,5
claims,82
claims adjudication,2
claims executive,1
claims management,2
claims processing,11
clariion,1
clarity,2
classic asp,1
classification,3
classified,1
clc,1
cleaning,3
cleaning validation,1
clear quest,2
clearance,9
clearcase,3
clearing,5
clearing agent,1
clearpath,1
clerical,2
clerical staff,1
clerk,2
cli,1021
client,829
client - server architecture,1
client account management,5
client acquisition,112
client associate,1
client billing,3
client communication,15
client coordination,23
client coordinator,3
client correspondence,1
client development,9
client engagement,29
client executive,1
client focus,1
client generation,1
client h,91
client handling,90
client interaction,47
client interfacing,4
client management,96
client meeting,20
client meetings,1
client mgmt,1
client onboarding,10
client partner,1
client presentations,2
client relation,161
client relation management,1
client relations,157
client relations management,2
client relationship,155
client relationship management,39
client relationship manager,3
client relationships,21
client reporting,6
client reports,1
client retention,14
client s executive,1
client satisfaction,33
client server,13
client server applications,2
client service,16
client service executive,2
client services,7
client servicing,161
client servicing executive,4
client solutions,1
client support,20
clients,50
clients handling,2
climate change,2
clinical biochemistry,1
clinical business associate,1
clinical data,17
clinical data management,11
clinical data manager,1
clinical data validation,1
clinical development,6
clinical operations,2
clinical pharmacist,4
clinical pharmacy,1
clinical psychology,1
clinical research,31
clinical research associate,3
clinical research coordinator,3
clinical sas,5
clinical sas programmer,4
clinical sas programming,2
clinical science,1
clinical statististical,1
clinical trial,15
clinical trial coordinator,2
clinical trials,12
clle,2
clm,2
clojure,2
cloning,6
closing,35
closing and reporting,1
closure,47
clothing,4
cloud,409
cloud application support,1
cloud applications,2
cloud apps,1
cloud computing,83
cloud customer support engineer,1
cloud design,1
cloud desktop support engineer,1
cloud devops engineer,1
cloud etl,1
cloud foundry,17
cloud informatica,1
cloud integration,1
cloud product support,1
cloud sales,7
cloud security,16
cloud service catalog,1
cloud services,2
cloud storage,3
cloud support,1
cloud support engineer,1
cloud technical support,1
cloud technologies,3
cloud testing,1
cloud transformation,1
cloudcraze development,1
cloudera,17
cloudfront,1
clsa,3
club,3
cluster,35
cluster analysis,1
cluster head,4
cluster manager,7
clustering,13
cm,448
cma,21
cma data,3
cmc co - ordintor,1
cmc documentation,1
cmc dossiers,1
cmc variations,1
cmdb,4
cme,8
cmis,1
cmm,32
cmm operating,1
cmmi,26
cmo,20
cmod,2
cmos,6
cmos process manufacturing,1
cms,186
cnc,32
cnc machine operator,1
cnc machines,11
cnc maintenance,1
cnc milling,2
cnc operator,6
cnc programming,8
cnc turning,2
cns,2
co,11533
co - cca,1
co - ordinator,13
co ordination,10
co ordinator,4
coach,58
coaching,32
coachsoftware development,1
coal,1
coal mining,1
coating,4
coatings,1
cobal,1
cobit,9
cobol,26
cobol programmer,1
cockpit customization,1
cockpits,1
cocoa,59
cocoa framework,5
cocoa touch,25
code,243
code composer studio,1
code ignitor,2
code review,27
code reviews,2
codeigniter,88
codeigniter framework,11
codeignitor,1
coder,65
coders,6
coding,654
coe,2
coffee,6
coffee maker,1
cogent,1
cognizant,14
cognos,32
cognos admin,1
cognos administering,1
cognos bi,2
cognos framework manager,1
cognos report studio,1
cognos servers,1
coke,3
cold,279
cold calling,273
cold calls,1
cold kitchen,1
cold rolling,1
coldfusion,1
collaboration,2
collateral,29
collateral development,1
collateral management,3
collaterals,24
collection,198
collection debt,1
collection executive,16
collection executives,1
collection framework,3
collection management,12
collection manager,6
collection manager-recovery,1
collections,85
collections executive,1
collections expert,1
collections process,11
collections strategy,2
college,14
color correction,1
color doppler,1
colour doppler,1
columns,3
com,4237
com dcom,3
com+,1
comm,1694
command center,2
commerce,293
commercial,153
commercial accounting,1
commercial activities,5
commercial acumen,1
commercial artist,2
commercial banking,14
commercial building,9
commercial buildings,7
commercial cards,1
commercial complex,2
commercial complexes,1
commercial contracts,1
commercial executive,6
commercial finance,1
commercial functions,1
commercial leasing,6
commercial lending,2
commercial management,6
commercial matters,1
commercial negotiations,8
commercial nking,1
commercial officer,2
commercial operations,2
commercial projects,13
commercial real estate,5
commercial sales,9
commercial strategy,1
commercial vehicle,23
commercial vehicle loan,5
commercial vehicle loans,4
commi,35
commie 3,1
commis,33
commis chef,3
commissioning,21
commodities,7
commodity,22
commodity dealer,4
commodity markets,5
commodity trading,11
comms,1
communicating,1
communication,1172
communication (hindi and english mandatory),1
communication coach,3
communication design,3
communication engineering,5
communication management,4
communication power,1
communication protocol,20
communication protocols,19
communication skill,729
communication skills,716
communication trainer,5
communications skills,7
communicator,2
community medicine,1
commvault,2
comp,2131
comp & ben,1
companies act,7
company,114
company accounts,6
company act,1
company affairs,1
company analysis,3
company law,6
company matters,1
company profiling,2
company research,5
company secretar,60
company secretarial,5
company secretary,57
company valuation,1
comparative analysis,1
compatibility testing,4
compensation,54
compensation & benefits,1
compensation benchmarking,1
compensation management,4
competency development,5
competency mapping,5
competition mapping,8
competitive analysis,20
competitive benchmarking,1
competitive intelligence,22
competitor analysis,42
competitor research,1
compilers,5
complaint handling,4
complaint management,6
complaints,71
complete,5
complex,19
complexes,2
compliance,418
compliance executive,1
compliance management,6
compliance monitoring,5
compliance officer,2
compliances,6
component,27
component design,3
component interface,1
component selection,1
components,20
composer,2
compositing,5
composition,2
compression,4
compressor,8
compressors,3
comptia,1
computational biology,2
computational fluid dynamics,1
computax,1
computer,927
computer accounting,2
computer application,5
computer architecture,4
computer data entry,2
computer data entry operator,1
computer faculty,1
computer graphics,5
computer hardware,23
computer knowledge,2
computer languages,2
computer literate,7
computer networking,8
computer operating,35
computer operating system,1
computer operator,70
computer operators,1
computer proficiency,5
computer proficient,1
computer savvy,8
computer science,686
computer science & engineering,1
computer science engineering,1
computer science teacher,1
computer service engineer,1
computer servicing,1
computer skills,29
computer system validation,3
computer teacher,4
computer teaching,4
computer technician,1
computer trainer,1
